OG #	S.cer	K.marx	Y.lipo
OG0001002	YLR187W	KMXK_0A07650	YALI1_F29356g
OG0001003	YNL279W	KMXK_0A07660	YALI1_E10443g
OG0001004	YLR186W	KMXK_0A07670	YALI1_E02056g
OG0001005	YLR182W	KMXK_0A07710	YALI1_C17820g
OG0001006	YLR181C	KMXK_0A07720	YALI1_C17800g
OG0001007	YDR502C	KMXK_0A07730	YALI1_B19079g
OG0001008	YLR178C	KMXK_0A07750	YALI1_B04853g
OG0001009	YDR510W	KMXK_0A07800	YALI1_F10115g
OG0001010	YCL027W	KMXK_0A07840	YALI1_E35221g
OG0001012	YCL030C	KMXK_0A07870	YALI1_A15879g
OG0001013	YDR511W	KMXK_0A07880	YALI1_C13241g
OG0001014	YCL031C	KMXK_0A07890	YALI1_C18892g
OG0001015	YCL032W	KMXK_0A07900	YALI1_E22988g
OG0001016	YDR512C	KMXK_0A07910	YALI1_B22060g
OG0001017	YCL033C	KMXK_0A07920	YALI1_C07077g
OG0001018	YCL034W	KMXK_0A07930	YALI1_C06973g
OG0001019	YCL038C	KMXK_0A07990	YALI1_C04798g
OG0001020	YCL039W	KMXK_0A08000	YALI1_C04672g
OG0001021	YDR517W	KMXK_0A08020	YALI1_E03553g
OG0001022	YCL043C	KMXK_0A08030	YALI1_E03584g
OG0001023	YCL044C	KMXK_0A08040	YALI1_E05403g
OG0001024	YCL045C	KMXK_0A08050	YALI1_E17527g
OG0001025	YDR519W	KMXK_0A08060	YALI1_A20602g
OG0001026	YDR525W-A	KMXK_0A08100	YALI1_B27399g
OG0001027	YDR527W	KMXK_0A08110	YALI1_E31724g
OG0001028	YDR531W	KMXK_0A08130	YALI1_D33780g
