NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
KMXK_0H03730	W0TFS9	KLMA_70377	6.686178653	6.756444838	6.638975391	6.778129791	6.553516992	6.705545393	6.866664092	6.821237224	6.852195275	6.430379473	6.712842051	6.582381604
KMXK_0C02990	W0T964	KLMA_30303	6.436727504	6.546966572	6.811777558	6.863050997	6.97053852	6.939963473	6.64521546	6.683173361	6.40410075	6.863143517	6.691547239	6.650060683
KMXK_0F02690	W0TDZ5	KLMA_60304	7.009702353	6.770037668	6.676216125	6.484213326	6.504692955	6.692203353	6.789502637	6.725112252	6.878603293	6.787837136	6.884253954	6.85086469
KMXK_0A01600	W0T401	KLMA_10680	6.90117537	6.998596361	7.035948437	7.159121194	6.99691861	6.973829123	7.218773262	7.095928201	7.296979185	6.855533227	7.047085951	7.002116882
KMXK_0C01120	W0T9D1	KLMA_30106	6.874470126	6.712965345	6.599703168	6.518086384	6.436948021	6.68765132	6.832108993	6.907398403	6.836319912	6.655125979	6.895702102	6.772732112
KMXK_0B07620	W0T6F5	KLMA_20749	6.409270751	6.418972703	6.217296594	6.402843306	6.342826076	6.286123075	6.352463781	6.459549698	6.335436234	6.499230094	6.481302753	6.490994363
KMXK_0G03540	W0TG81	KLMA_80346	6.93580363	6.811975624	6.613154556	6.7401115	6.361848819	6.255997285	6.80175037	6.825724366	7.00562466	6.892857649	6.812274315	6.581471161
KMXK_0B05060	W0T827	KLMA_20493	7.199705137	7.068256905	7.106147461	7.056932485	6.691622775	6.794328821	7.118665376	7.054798491	7.243359211	6.950066681	7.08888638	6.976873536
KMXK_0E00250	W0TCB9	KLMA_50019	6.935811392	6.800929924	7.118225649	7.164296947	7.25884423	7.506274519	7.175643067	6.930565026	7.140472175	7.312424435	7.112022364	7.097888808
KMXK_0H02540	W0TEM9	KLMA_70254	6.910239568	7.153598413	6.870378546	6.912141575	7.207002704	6.928199493	6.797126637	6.966153499	6.543416764	6.661239706	6.687088696	6.814318063
KMXK_0A05230	W0T4J4	KLMA_10341	7.083500525	6.977831523	7.02881179	7.01130102	7.19035031	7.215677057	6.928455604	6.998637156	6.704822346	7.164018649	7.103840379	7.05975931
KMXK_0F00890	W0TI09	KLMA_60473	7.259234053	7.052339653	7.111818672	7.192668507	7.0894736	7.096772432	6.969305257	6.983260135	6.869119854	6.986866261	7.143189026	7.107770329
KMXK_0F01650	W0TF50	KLMA_60407	6.790856832	6.650018844	6.57142948	6.445478008	6.514202972	6.526757176	6.600256133	6.8135775	6.683948894	6.575994658	6.593010862	6.570559519
KMXK_0B00980	W0T8X3	KLMA_20086	7.249011086	7.165995749	7.063872564	7.09738452	6.927059628	7.026070968	7.245846472	7.137667017	7.149469897	7.133909081	7.063046995	7.198395888
KMXK_0H04250	W0TJE4	KLMA_70426	7.330403071	7.761629026	7.784513902	7.689609365	7.902359346	7.937402081	7.697544587	7.770693938	7.572608539	7.854595273	7.959948697	8.009767681
KMXK_0G01740	W0TI35	KLMA_80165	6.967023336	7.242408396	7.083242986	7.198680551	7.000802175	6.966653513	7.248990473	7.203488843	7.209735581	6.9463435	6.689075065	6.993636471
KMXK_0D03660	W0TC56	KLMA_40342	7.44469944	7.315909164	7.011269042	7.076991596	7.4181024	6.778369023	7.365493199	7.700539118	7.401085152	7.532186145	7.53376711	7.647543073
KMXK_0H03260	W0TGH5	KLMA_70325	6.649411269	6.427370382	6.861977	NA	7.089085997	7.14822536	7.091702932	6.72323637	6.965110798	NA	6.808263283	6.798416005
KMXK_0D01900	W0T980	KLMA_40163	6.07171377	6.27168575	6.633509777	5.619448548	6.131466218	6.240216324	6.126992887	5.96995891	5.815639392	6.504557897	6.576934239	6.482779939
KMXK_0D01240	W0TBC6	KLMA_40102	7.670684982	7.772494869	7.406065916	8.140813462	7.659384741	7.940266021	7.817101825	7.760378186	7.722023933	7.417810871	7.541241858	7.531905937
KMXK_0B04910	W0T5P8	KLMA_20479	6.877509921	7.143931085	6.994660136	7.290945555	7.399101141	7.262498628	7.026335484	7.307002875	6.654941263	7.297138004	7.302146522	7.346985791
KMXK_0B06280	W0T626	KLMA_20614	6.854972929	6.974275545	7.133123363	7.169962581	6.978537668	7.038260921	7.167375277	6.811865844	7.392810706	6.906259988	6.486807391	6.61682317
KMXK_0B05550	W0T7G9	KLMA_20540	7.345919159	7.09298225	7.006244195	6.972950829	6.852328943	6.71449058	7.145222957	6.99873152	7.365249823	6.889801955	6.954603148	6.896830865
KMXK_0B00450	W0T6R0	KLMA_20033	7.086995771	6.98518149	6.947454437	6.842524018	6.448110383	6.793895841	6.787780925	6.888359316	6.550866447	6.980294973	7.009972402	6.973711928
KMXK_0B03740	W0T5E2	KLMA_20359	7.000100213	7.023955607	7.029192959	6.916640933	6.703004707	6.728782812	7.007485872	6.988364793	7.369201793	7.000289493	6.883426232	6.984526523
KMXK_0F03440	W0TFC4	KLMA_60230	7.304908141	7.041250192	7.236776549	6.592873553	6.934230067	6.674786612	6.906364533	6.972005597	7.380308857	6.900333989	7.035601483	6.874054495
KMXK_0G00680	W0TG93	KLMA_80059	7.903464973	7.688047649	7.572403183	7.464263266	7.158888642	7.510668993	7.746431565	7.519481291	7.857222386	7.309581026	7.511225294	7.439299476
KMXK_0A01420	W0T4L3	KLMA_10698	7.377059943	7.350586492	7.404772627	7.271233429	7.301805367	7.137472707	7.17285143	7.3450647	7.106724172	7.336156395	7.361932634	7.38318648
KMXK_0D06060	W0TCR0	KLMA_40577	6.312508494	6.3015082	6.509806507	6.492061754	6.482278967	6.451554146	6.646649578	6.40944399	6.44202537	6.702866761	6.562908339	6.615234756
KMXK_0E03920	W0TDZ2	KLMA_50387	7.520847913	7.337339161	7.41915412	7.117847032	7.523107446	7.188711162	6.772924867	7.182929149	7.046166987	7.257681937	7.254302958	7.255852204
KMXK_0E05620	W0TCR7	KLMA_50566	6.874880969	6.763229658	6.6098462	6.964965347	6.909695597	6.872286644	6.841456458	6.801683767	6.83051207	6.594236537	6.727606121	6.76933148
KMXK_0C05770	W0T8D0	KLMA_30577	6.832226442	7.448260367	7.16524984	7.056350236	7.431216336	7.177535889	7.407318332	7.659297942	6.910194659	7.808237998	7.654132687	7.92407886
KMXK_0H00840	W0TIH4	KLMA_70086	7.057681689	7.026020327	6.76543743	6.699816752	6.757077219	6.868089954	6.814755183	6.921680288	7.095500222	6.676791305	6.679868072	6.706926663
KMXK_0B01690	W0T938	KLMA_20156	7.443581302	7.29480867	6.900372838	6.87124491	6.57288106	NA	7.268427773	7.081345857	7.861976677	6.589553348	6.802866897	6.760911288
KMXK_0D01480	W0TAT4	KLMA_40124	7.016053539	7.017013426	7.215612185	7.147507026	7.166125615	7.003575282	6.951532975	7.027005489	6.734867675	6.917392525	6.7678898	6.886535166
KMXK_0H00440	W0TID5	KLMA_70046	6.812976917	6.569929236	6.770697115	6.846570674	6.733386497	6.620167748	6.566406341	6.620067323	6.436979481	6.805879988	6.751761486	6.819125263
KMXK_0B05050	W0T6B8	KLMA_20492	7.914466293	7.887405596	7.871560209	7.753401821	7.397726065	7.671973158	7.705568702	7.74980512	7.845878761	7.772368258	7.863286681	7.738037646
KMXK_0C05200	W0TAL0	KLMA_30526	7.003147651	6.890269805	6.842574024	6.792713606	6.526178345	6.634533816	6.952234688	6.843765783	6.994294305	6.924995245	6.388011898	6.844099246
