genes,direction
CENPK1137D_1528,mixed
CENPK1137D_4360,up
CENPK1137D_2968,down
CENPK1137D_4776,down
CENPK1137D_4518,down
CENPK1137D_4613,up
CENPK1137D_4570,down
CENPK1137D_296,down
CENPK1137D_3174,down
CENPK1137D_1276,up
CENPK1137D_1966,up
CENPK1137D_2212,up
CENPK1137D_3886,down
CENPK1137D_1277,down
CENPK1137D_3732,down
CENPK1137D_4660,up
CENPK1137D_3340,down
CENPK1137D_594,down
CENPK1137D_3657,up
CENPK1137D_3607,down
CENPK1137D_4300,up
CENPK1137D_982,up
CENPK1137D_4636,down
CENPK1137D_4376,down
CENPK1137D_3772,down
CENPK1137D_1265,down
CENPK1137D_45,up
CENPK1137D_786,up
CENPK1137D_2244,down
CENPK1137D_4905,down
CENPK1137D_4148,down
CENPK1137D_3197,down
CENPK1137D_1762,up
CENPK1137D_4186,down
CENPK1137D_3899,down
CENPK1137D_4403,up
CENPK1137D_1613,down
CENPK1137D_4354,down
CENPK1137D_4129,down
CENPK1137D_2860,down
CENPK1137D_5074,up
CENPK1137D_1773,down
CENPK1137D_4633,up
CENPK1137D_3941,down
CENPK1137D_4373,down
CENPK1137D_4715,up
CENPK1137D_3144,mixed
CENPK1137D_4572,down
CENPK1137D_3348,down
CENPK1137D_2556,up
CENPK1137D_5379,down
CENPK1137D_5283,down
CENPK1137D_4926,down
CENPK1137D_1463,down
CENPK1137D_4192,down
CENPK1137D_5134,down
CENPK1137D_3479,down
CENPK1137D_1949,down
CENPK1137D_1631,up
CENPK1137D_5227,up
CENPK1137D_4515,down
CENPK1137D_4699,up
CENPK1137D_3835,down
CENPK1137D_3016,up
CENPK1137D_5197,down
CENPK1137D_2201,down
CENPK1137D_1608,down
CENPK1137D_718,up
CENPK1137D_4882,down
CENPK1137D_4999,down
CENPK1137D_462,down
CENPK1137D_4106,down
CENPK1137D_606,down
CENPK1137D_5272,down
CENPK1137D_2300,down
CENPK1137D_2733,up
CENPK1137D_1300,mixed
CENPK1137D_2594,up
CENPK1137D_2987,down
CENPK1137D_2679,down
CENPK1137D_841,down
CENPK1137D_454,up
CENPK1137D_2741,down
CENPK1137D_4200,down
CENPK1137D_3496,up
CENPK1137D_732,up
CENPK1137D_2857,down
CENPK1137D_2065,down
CENPK1137D_5235,up
CENPK1137D_4956,up
CENPK1137D_4435,up
CENPK1137D_4874,down
CENPK1137D_978,down
CENPK1137D_4843,down
CENPK1137D_745,up
CENPK1137D_1957,down
CENPK1137D_3851,down
CENPK1137D_3327,mixed
CENPK1137D_3597,down
CENPK1137D_715,down
CENPK1137D_939,down
CENPK1137D_3467,up
CENPK1137D_1309,down
CENPK1137D_3311,mixed
CENPK1137D_4762,down
CENPK1137D_4494,down
CENPK1137D_1521,up
CENPK1137D_3804,up
CENPK1137D_1257,down
CENPK1137D_889,up
CENPK1137D_1123,down
CENPK1137D_2639,down
CENPK1137D_3853,down
CENPK1137D_1885,down
CENPK1137D_905,down
CENPK1137D_4754,down
CENPK1137D_1146,down
CENPK1137D_3469,up
CENPK1137D_3790,up
CENPK1137D_4853,down
CENPK1137D_86,up
CENPK1137D_5141,up
CENPK1137D_1941,down
CENPK1137D_5429,up
CENPK1137D_2746,down
CENPK1137D_3789,up
CENPK1137D_292,down
CENPK1137D_3798,up
CENPK1137D_4929,down
CENPK1137D_2071,up
CENPK1137D_4571,down
CENPK1137D_784,up
CENPK1137D_1280,down
CENPK1137D_894,down
CENPK1137D_4558,up
CENPK1137D_5428,up
CENPK1137D_630,down
CENPK1137D_2246,down
CENPK1137D_1959,up
CENPK1137D_2190,down
CENPK1137D_382,up
CENPK1137D_150,down
CENPK1137D_1968,down
CENPK1137D_1665,down
CENPK1137D_1962,down
CENPK1137D_2643,down
CENPK1137D_956,down
CENPK1137D_2565,down
CENPK1137D_3617,down
CENPK1137D_3279,down
CENPK1137D_2400,down
CENPK1137D_4353,up
CENPK1137D_2662,down
CENPK1137D_2434,down
CENPK1137D_3646,down
CENPK1137D_4351,down
CENPK1137D_808,down
CENPK1137D_1993,up
CENPK1137D_4769,down
CENPK1137D_2666,down
CENPK1137D_3304,up
CENPK1137D_2878,down
CENPK1137D_1851,down
CENPK1137D_2054,down
CENPK1137D_36,down
CENPK1137D_4193,up
CENPK1137D_2696,down
CENPK1137D_232,down
CENPK1137D_5285,down
CENPK1137D_1450,down
CENPK1137D_1173,up
CENPK1137D_557,down
CENPK1137D_3656,down
CENPK1137D_3428,up
CENPK1137D_5384,up
CENPK1137D_4345,down
CENPK1137D_5102,down
CENPK1137D_1697,down
CENPK1137D_2202,down
CENPK1137D_2925,down
CENPK1137D_4695,down
CENPK1137D_4844,down
CENPK1137D_5446,up
CENPK1137D_4449,up
CENPK1137D_5048,down
CENPK1137D_2318,up
CENPK1137D_3146,down
CENPK1137D_1104,down
CENPK1137D_2712,up
CENPK1137D_4362,up
CENPK1137D_3053,down
CENPK1137D_4938,down
CENPK1137D_3986,up
CENPK1137D_3485,up
CENPK1137D_3873,down
CENPK1137D_5249,up
CENPK1137D_4380,down
CENPK1137D_899,down
CENPK1137D_4098,down
CENPK1137D_5108,up
CENPK1137D_1654,up
CENPK1137D_2482,down
CENPK1137D_761,down
CENPK1137D_4453,up
CENPK1137D_4473,up
CENPK1137D_126,down
CENPK1137D_1444,down
CENPK1137D_5424,down
CENPK1137D_5151,up
CENPK1137D_1842,down
CENPK1137D_3483,down
CENPK1137D_2070,up
CENPK1137D_3368,down
CENPK1137D_456,down
CENPK1137D_4852,down
CENPK1137D_5160,down
CENPK1137D_1576,down
CENPK1137D_1471,down
CENPK1137D_278,down
CENPK1137D_428,up
CENPK1137D_2980,down
CENPK1137D_4123,up
CENPK1137D_3701,down
CENPK1137D_3840,down
CENPK1137D_3215,down
CENPK1137D_2563,down
CENPK1137D_1303,down
CENPK1137D_1163,down
CENPK1137D_1254,down
CENPK1137D_3841,down
CENPK1137D_3330,up
CENPK1137D_4185,up
CENPK1137D_4099,down
CENPK1137D_4975,down
CENPK1137D_906,up
CENPK1137D_3534,down
CENPK1137D_1710,up
CENPK1137D_3097,down
CENPK1137D_2263,up
CENPK1137D_4450,down
CENPK1137D_3119,down
CENPK1137D_3108,down
CENPK1137D_184,down
CENPK1137D_1982,up
CENPK1137D_5441,up
CENPK1137D_1389,down
CENPK1137D_5239,up
CENPK1137D_5323,down
CENPK1137D_3033,up
CENPK1137D_4730,down
CENPK1137D_4708,down
CENPK1137D_4609,down
CENPK1137D_216,down
CENPK1137D_3155,up
CENPK1137D_2152,down
CENPK1137D_4845,down
CENPK1137D_3299,up
CENPK1137D_3807,down
CENPK1137D_2178,up
CENPK1137D_5427,up
CENPK1137D_131,down
CENPK1137D_3958,down
CENPK1137D_5426,up
CENPK1137D_544,down
CENPK1137D_1086,down
CENPK1137D_3437,down
CENPK1137D_1921,down
CENPK1137D_670,down
CENPK1137D_2570,up
CENPK1137D_4488,down
CENPK1137D_2675,up
CENPK1137D_4207,down
CENPK1137D_1470,down
CENPK1137D_4797,down
CENPK1137D_3031,up
CENPK1137D_2586,down
CENPK1137D_574,down
CENPK1137D_3094,down
CENPK1137D_3890,down
CENPK1137D_1876,down
CENPK1137D_673,down
CENPK1137D_2508,down
CENPK1137D_1490,down
CENPK1137D_4549,down
CENPK1137D_2339,down
CENPK1137D_5286,down
CENPK1137D_346,up
CENPK1137D_612,down
CENPK1137D_1536,down
CENPK1137D_3610,up
CENPK1137D_377,down
CENPK1137D_5294,down
CENPK1137D_3305,down
CENPK1137D_4182,down
CENPK1137D_629,down
CENPK1137D_548,up
CENPK1137D_3867,down
CENPK1137D_1398,down
CENPK1137D_4601,down
CENPK1137D_2455,down
CENPK1137D_558,up
CENPK1137D_680,down
CENPK1137D_883,up
CENPK1137D_4431,down
CENPK1137D_4687,down
CENPK1137D_289,down
CENPK1137D_772,down
CENPK1137D_3654,up
CENPK1137D_2253,down
CENPK1137D_1112,up
CENPK1137D_1581,down
CENPK1137D_4698,down
CENPK1137D_4183,down
CENPK1137D_67,down
CENPK1137D_725,down
CENPK1137D_3773,down
CENPK1137D_3510,down
CENPK1137D_3316,up
CENPK1137D_2426,down
CENPK1137D_2288,down
CENPK1137D_1133,down
CENPK1137D_2931,up
CENPK1137D_746,down
CENPK1137D_2148,up
CENPK1137D_1264,up
CENPK1137D_4713,up
CENPK1137D_5242,down
CENPK1137D_4209,down
CENPK1137D_3643,up
CENPK1137D_1841,down
CENPK1137D_4019,up
CENPK1137D_3224,down
CENPK1137D_2521,down
CENPK1137D_1668,down
CENPK1137D_2476,down
CENPK1137D_3118,down
CENPK1137D_141,down
CENPK1137D_2005,down
CENPK1137D_5173,down
CENPK1137D_781,up
CENPK1137D_2740,up
CENPK1137D_3032,up
CENPK1137D_4693,down
CENPK1137D_5364,down
CENPK1137D_1087,down
CENPK1137D_633,down
CENPK1137D_424,down
CENPK1137D_5103,down
CENPK1137D_3968,up
CENPK1137D_4180,down
CENPK1137D_3398,down
CENPK1137D_3459,down
CENPK1137D_4485,down
CENPK1137D_868,up
CENPK1137D_2676,up
CENPK1137D_2489,up
CENPK1137D_2677,down
CENPK1137D_2248,down
CENPK1137D_3361,up
CENPK1137D_3500,down
CENPK1137D_2219,down
CENPK1137D_2031,down
