genes	orthology	s288c
CENPK1137D_2930	C+H	YGL040C
CENPK1137D_2194	C+H	YOR176W
CENPK1137D_3670	C+H	YER014W
CENPK1137D_3863	C+H	YDR044W
CENPK1137D_3867	C+H	YDR047W
CENPK1137D_4055	C+H	YDR232W
CENPK1137D_4056	C+H	YDR232W
CENPK1137D_4091	C+H	YDR266C
CENPK1137D_1027	C+H	YKR017C
CENPK1137D_4283	C+H	YDR458C
CENPK1137D_2656	C+H	YNL021W
CENPK1137D_989	C+H	YKL017C
CENPK1137D_4415	C+H	YCR065W
CENPK1137D_2759	C+H	YNL281W
CENPK1137D_1269	C+H	YJL033W
CENPK1137D_3527	C+H	YEL056W
CENPK1137D_1700	C+H	YPL001W
CENPK1137D_333	C+H	YMR290C
CENPK1137D_2374	C+H	YOR358W
CENPK1137D_4906	C+H	YBL021C
CENPK1137D_2979	C+H	YGL237C
CENPK1137D_1363	C+H	YJR069C
CENPK1137D_3356	C+H	YFL027C
CENPK1137D_3710	C+H	YDL234C
CENPK1137D_1258	C+H	YJL044C
CENPK1137D_1690	C+H	YPL249C
CENPK1137D_2089	C+H	YOR070C
CENPK1137D_228	C+H	YMR192W
CENPK1137D_1211	C+H	YJL091C
CENPK1137D_5033	C+H	YIL155C
CENPK1137D_2901	C+H	YGL245W
CENPK1137D_4280	C+H	YDR454C
CENPK1137D_664	C+H	YLR289W
CENPK1137D_4377	C+H	YDL238C
CENPK1137D_255	C+H	YMR217W
CENPK1137D_760	C+H	YLL060C
CENPK1137D_3128	C+H	YGR163W
CENPK1137D_2	C+H	YML121W
CENPK1137D_4044	C+H	YDR221W
CENPK1137D_1972	C+H	YOL049W
CENPK1137D_1200	C+H	YJL101C
CENPK1137D_4558	C+H	YBR014C
CENPK1137D_1641	C+H	YPL059W
CENPK1137D_3589	C+H	YER174C
CENPK1137D_3921	C+H	YDR098C
CENPK1137D_4464	C+H	YCL035C
CENPK1137D_1381	C+H	YJR090C
CENPK1137D_4344	C+H	YDR517W
CENPK1137D_4801	C+H	YBR244W
CENPK1137D_618	C+H	YLR243W
CENPK1137D_2278	C+H	YOR262W
CENPK1137D_1155	C+H	YKL152C
CENPK1137D_4159	C+H	YDR331W
CENPK1137D_1624	C+H	YPL076W
CENPK1137D_4548	C+H	YBR004C
CENPK1137D_4260	C+H	YDR434W
CENPK1137D_5339	C+H	YHR188C
CENPK1137D_1311	C+H	YJR013W
CENPK1137D_628	C+H	YLL031C
CENPK1137D_324	C+H	YMR281W
CENPK1137D_4125	C+H	YDR302W
CENPK1137D_2832	C+H	YGL142C
CENPK1137D_3183	C+H	YGR216C
CENPK1137D_1851	C+H	YPR160W
CENPK1137D_5396	C+H	YHR005C
CENPK1137D_337	C+H	YMR292W
CENPK1137D_5208	C+H	YHL031C
CENPK1137D_2766	C+H	YNL274C
CENPK1137D_3366	C+H	YFL017C
CENPK1137D_1041	C+H	YKR030W
CENPK1137D_3157	C+H	
CENPK1137D_1609	C+H	YPL091W
CENPK1137D_2061	C+H	YOR040W
CENPK1137D_4095	C+H	YDR272W
CENPK1137D_25	C+H	YML004C
CENPK1137D_2187	C+H	YOR168W
CENPK1137D_1737	C+H	YPR035W
CENPK1137D_1495	C+H	YJL137C
CENPK1137D_1067	C+H	YKR058W
CENPK1137D_3520	C+H	YER107C
CENPK1137D_3975	C+H	YDL207W
CENPK1137D_3547	C+H	YER133W
CENPK1137D_3646	C+H	YEL011W
CENPK1137D_2784	C+H	YNL255C
CENPK1137D_3974	C+H	YDR152W
CENPK1137D_3458	C+H	YER054C
CENPK1137D_290	C+H	YML094W
CENPK1137D_3652	C+H	YEL003W
CENPK1137D_2528	C+H	YNL153C
CENPK1137D_167	C+H	YMR135C
CENPK1137D_2183	C+H	YOR164C
CENPK1137D_3726	C+H	YDL100C
CENPK1137D_4930	C+H	YAL048C
CENPK1137D_1331	C+H	YJR040W
CENPK1137D_4739	C+H	YBR187W
CENPK1137D_3549	C+H	YER136W
CENPK1137D_4927	C+H	YAL062W
CENPK1137D_2390	C+H	YOR375C
CENPK1137D_1589	C+H	YPL110C
CENPK1137D_1876	C+H	YPR184W
CENPK1137D_3614	C+H	YEL042W
CENPK1137D_4934	C+H	YAL044C
CENPK1137D_225	C+H	YMR189W
CENPK1137D_3841	C+H	YDR019C
CENPK1137D_3776	C+H	YDL226C
CENPK1137D_3219	C+H	YGR252W
CENPK1137D_3647	C+H	YEL009C
CENPK1137D_1037	C+H	YKR026C
CENPK1137D_3391	C+H	YFR009W
CENPK1137D_4105	C+H	YDR283C
CENPK1137D_3268	C+H	YGL195W
CENPK1137D_3577	C+H	YER163C
CENPK1137D_666	C+H	YLR291C
CENPK1137D_4035	C+H	YDR211W
CENPK1137D_3049	C+H	YGR083C
CENPK1137D_1508	C+H	YJL125C
CENPK1137D_3683	C+H	YER025W
CENPK1137D_2618	C+H	YNL062C
CENPK1137D_2276	C+H	YOR260W
CENPK1137D_3363	C+H	YFL021W
CENPK1137D_5236	C+H	YHR089C
CENPK1137D_3685	C+H	YER027C
CENPK1137D_4562	C+H	YBR018C
CENPK1137D_4563	C+H	YBR019C
CENPK1137D_831	C+H	YLR459W
CENPK1137D_475	C+H	YLR088W
CENPK1137D_3288	C+H	YGL254W
CENPK1137D_5162	C+H	YIL097W
CENPK1137D_4911	C+H	YBL016W
CENPK1137D_5275	C+H	YHR128W
CENPK1137D_4963	C+H	YAL019W
CENPK1137D_4959	C+H	YAL022C
CENPK1137D_4944	C+H	YAL035W
CENPK1137D_1558	C+H	YPL262W
CENPK1137D_2296	C+H	YOR280C
CENPK1137D_261	C+H	YMR222C
CENPK1137D_2286	C+H	YOR271C
CENPK1137D_3362	C+H	YFL022C
CENPK1137D_446	C+H	YLR060W
CENPK1137D_4199	C+H	YDR373W
CENPK1137D_1982	C+H	YOL152W
CENPK1137D_2398	C+H	YOR384W
CENPK1137D_639	C+H	YLL029W
CENPK1137D_4346	C+H	YDR519W
CENPK1137D_2544	C+H	YNL135C
CENPK1137D_1019	C+H	YKR009C
CENPK1137D_3234	C+H	YGR267C
CENPK1137D_3933	C+H	YDR110W
CENPK1137D_4914	C+H	YBL013W
CENPK1137D_50	C+H	YMR020W
CENPK1137D_3659	C+H	YER004W
CENPK1137D_260	C+H	YMR221C
CENPK1137D_2511	C+H	YNL168C
CENPK1137D_1903	C+H	YPL222W
CENPK1137D_3335	C+H	YFL046W
CENPK1137D_1597	C+H	YPL103C
CENPK1137D_826	C+H	YLR454W
CENPK1137D_5326	C+H	YHR176W
CENPK1137D_4060	C+H	YDR236C
CENPK1137D_5192	C+H	YIL065C
CENPK1137D_1385	C+H	YJR093C
CENPK1137D_2785	C+H	YNL325C
CENPK1137D_4646	C+H	YBR101C
CENPK1137D_319	C+H	YMR277W
CENPK1137D_436	C+H	YLR051C
CENPK1137D_4168	C+H	YDR339C
CENPK1137D_1478	C+H	YJL155C
CENPK1137D_746	C+H	YLR377C
CENPK1137D_3599	C+H	YER183C
CENPK1137D_4585	C+H	YBR041W
CENPK1137D_60	C+H	YMR029C
CENPK1137D_2553	C+H	YNL127W
CENPK1137D_4369	C+H	YDL166C
CENPK1137D_2654	C+H	YNL023C
CENPK1137D_3844	C+H	YDR021W
CENPK1137D_3783	C+H	YDL045C
CENPK1137D_3401	C+H	YFR019W
CENPK1137D_287	C+H	YMR246W
CENPK1137D_5053	C+H	YIL009W
CENPK1137D_3671	C+H	YER015W
CENPK1137D_2334	C+H	YOR317W
CENPK1137D_4647	C+H	YBR102C
CENPK1137D_1216	C+H	YJL085W
CENPK1137D_2053	C+H	YOR033C
CENPK1137D_4345	C+H	YDR518W
CENPK1137D_4572	C+H	YBR026C
CENPK1137D_4571	C+H	YBR026C
CENPK1137D_5377	C+H	YHL010C
CENPK1137D_690	C+H	YLR318W
CENPK1137D_1315	C+H	YJR017C
CENPK1137D_3065	C+H	YGR098C
CENPK1137D_2733	C+H	YNR054C
CENPK1137D_4191	C+H	YDR365C
CENPK1137D_2555	C+H	YNL125C
CENPK1137D_2260	C+H	YOR244W
CENPK1137D_4936	C+H	YAL042W
CENPK1137D_386	C+H	YML067C
CENPK1137D_3252	C+H	YGR284C
CENPK1137D_16	C+H	YML012W
CENPK1137D_2920	C+H	YGL054C
CENPK1137D_2997	C+H	YGR029W
CENPK1137D_4425	C+H	YCR075C
CENPK1137D_2970	C+H	YGL002W
CENPK1137D_2036	C+H	YOR016C
CENPK1137D_4981	C+H	YAR002C-A
CENPK1137D_112	C+H	YML130C
CENPK1137D_5342	C+H	YHR190W
CENPK1137D_5215	C+H	YHR072W
CENPK1137D_44	C+H	YMR015C
CENPK1137D_442	C+H	YLR056W
CENPK1137D_3445	C+H	YER044C
CENPK1137D_489	C+H	YLR100W
CENPK1137D_2971	C+H	YGL001C
CENPK1137D_3027	C+H	YGR060W
CENPK1137D_2760	C+H	YNL280C
CENPK1137D_1466	C+H	YJL167W
CENPK1137D_239	C+H	YMR202W
CENPK1137D_384	C+H	YML126C
CENPK1137D_245	C+H	YMR208W
CENPK1137D_5399	C+H	YHR007C
CENPK1137D_1673	C+H	YPL028W
CENPK1137D_3141	C+H	YGR175C
CENPK1137D_621	C+H	YLR246W
CENPK1137D_4881	C+H	YBL040C
CENPK1137D_5427	C+H	YHR032W
CENPK1137D_80	C+H	YMR049C
CENPK1137D_3359	C+H	YFL024C
CENPK1137D_2262	C+H	YOR246C
CENPK1137D_1832	C+H	YPL236C
CENPK1137D_1421	C+H	YJR125C
CENPK1137D_3110	C+H	YGR145W
CENPK1137D_4804	C+H	YBR247C
CENPK1137D_3221	C+H	YGR254W
CENPK1137D_2538	C+H	YNL313C
CENPK1137D_3553	C+H	YER140W
CENPK1137D_3263	C+H	YGL200C
CENPK1137D_565	C+H	YLR186W
CENPK1137D_3034	C+H	YGL231C
CENPK1137D_969	C+H	YKL207W
CENPK1137D_4454	C+H	YCL045C
CENPK1137D_1598	C+H	YPL101W
CENPK1137D_1614	C+H	YPL086C
CENPK1137D_3165	C+H	YGR200C
CENPK1137D_1149	C+H	YKL160W
CENPK1137D_1655	C+H	YPL046C
CENPK1137D_2810	C+H	YNL230C
CENPK1137D_3971	C+H	YDR147W
CENPK1137D_3857	C+H	YDR036C
CENPK1137D_5345	C+H	YHR193C
CENPK1137D_1664	C+H	YPL037C
CENPK1137D_4214	C+H	YOR133W  YDR385W
CENPK1137D_250	C+H	YMR212C
CENPK1137D_2653	C+H	YNL024C
CENPK1137D_2972	C+H	YGR001C
CENPK1137D_5193	C+H	YIL064W
CENPK1137D_1424	C+H	YJR129C
CENPK1137D_5395	C+H	YHL039W
CENPK1137D_4875	C+H	YBL047C
CENPK1137D_2978	C+H	YGR007W
CENPK1137D_3410	C+H	YFR027W
CENPK1137D_672	C+H	YLR299W
CENPK1137D_5219	C+H	YHL030W
CENPK1137D_4608	C+H	YBR065C
CENPK1137D_3948	C+H	YDR125C
CENPK1137D_160	C+H	YMR128W
CENPK1137D_5278	C+H	YHR132C
CENPK1137D_1138	C+H	YKL172W
CENPK1137D_2543	C+H	YNL136W
CENPK1137D_1725	C+H	YPR023C
CENPK1137D_4184	C+H	YDR359C
CENPK1137D_5211	C+H	YHR068W
CENPK1137D_4252	C+H	YDR424C
CENPK1137D_1063	C+H	YKR054C
CENPK1137D_4809	C+H	YBR252W
CENPK1137D_775	C+H	YLR405W
CENPK1137D_771	C+H	YLR401C
CENPK1137D_371	C+H	YML080W
CENPK1137D_5370	C+H	YHL016C
CENPK1137D_4761	C+H	YBR208C
CENPK1137D_3319	C+H	YFR044C
CENPK1137D_3842	C+H	YDL219W
CENPK1137D_2928	C+H	YGL043W
CENPK1137D_318	C+H	YMR276W
CENPK1137D_4955	C+H	YAL026C
CENPK1137D_836	C+H	YLL008W
CENPK1137D_3060	C+H	YGR093W
CENPK1137D_1082	C+H	YKR071C
CENPK1137D_749	C+H	YLL018C
CENPK1137D_4106	C+H	YDR284C
CENPK1137D_1875	C+H	YPR183W
CENPK1137D_4116	C+H	YDR294C
CENPK1137D_527	C+H	YLR143W
CENPK1137D_550	C+H	YLR172C
CENPK1137D_1102	C+H	YKL191W
CENPK1137D_5157	C+H	YIL103W
CENPK1137D_1868	C+H	YPR175W
CENPK1137D_4267	C+H	YDR440W
CENPK1137D_3888	C+H	YDR068W
CENPK1137D_3965	C+H	YDR141C
CENPK1137D_2675	C+H	YNL001W
CENPK1137D_2957	C+H	YGL240W
CENPK1137D_3889	C+H	YDR069C
CENPK1137D_903	C+H	YKL213C
CENPK1137D_844	C+H	YLL001W
CENPK1137D_2027	C+H	YOR005C
CENPK1137D_5315	C+H	YHR164C
CENPK1137D_249	C+H	YMR211W
CENPK1137D_3595	C+H	YER179W
CENPK1137D_4297	C+H	YDL174C
CENPK1137D_5068	C+H	YIR004W
CENPK1137D_4229	C+H	YDR402C
CENPK1137D_1999	C+H	YOL021C
CENPK1137D_514	C+H	YLR129W
CENPK1137D_4088	C+H	YDR263C
CENPK1137D_1944	C+H	YPL266W
CENPK1137D_3193	C+H	YGR227W
CENPK1137D_1008	C+H	YKL002W
CENPK1137D_1044	C+H	YKR035W-A
CENPK1137D_718	C+H	YLR348C
CENPK1137D_1780	C+H	YPR082C
CENPK1137D_5403	C+H	YHR011W
CENPK1137D_3803	C+H	YDL024C
CENPK1137D_4374	C+H	YDL160C
CENPK1137D_1186	C+H	YKL121W
CENPK1137D_2261	C+H	YOR245C
CENPK1137D_2252	C+H	YOR236W
CENPK1137D_4239	C+H	YDR411C
CENPK1137D_5010	C+H	YIL049W
CENPK1137D_4753	C+H	YBR201W
CENPK1137D_3381	C+H	YFL001W
CENPK1137D_5412	C+H	YHR019C
CENPK1137D_2180	C+H	YOR163W
CENPK1137D_3556	C+H	YER143W
CENPK1137D_2562	C+H	YNL118C
CENPK1137D_513	C+H	YLR128W
CENPK1137D_5293	C+H	YHR144C
CENPK1137D_4482	C+H	YCL016C
CENPK1137D_1158	C+H	YKL149C
CENPK1137D_653	C+H	YLR276C
CENPK1137D_5321	C+H	YHR169W
CENPK1137D_2718	C+H	YNR038W
CENPK1137D_2066	C+H	YOR046C
CENPK1137D_2567	C+H	YNL112W
CENPK1137D_3795	C+H	YDL031W
CENPK1137D_3871	C+H	YDR052C
CENPK1137D_5423	C+H	YHR028C
CENPK1137D_1528	C+H	YPL170W
CENPK1137D_5093	C+H	YIR029W
CENPK1137D_5091	C+H	YIR027C
CENPK1137D_3416	C+H	YFL053W
CENPK1137D_2085	C+H	YOR065W
CENPK1137D_3120	C+H	YGR155W
CENPK1137D_1289	C+H	YJL005W
CENPK1137D_4258	C+H	YDR430C
CENPK1137D_4660	C+H	YBR112C
CENPK1137D_4940	C+H	YAL039C
CENPK1137D_1339	C+H	YJR048W
CENPK1137D_2568	C+H	YNL111C
CENPK1137D_401	C+H	YML054C
CENPK1137D_4502	C+H	YCR017C
CENPK1137D_2944	C+H	YGL027C
CENPK1137D_2794	C+H	YNL245C
CENPK1137D_695	C+H	YLR323C
CENPK1137D_3245	C+H	YGR278W
CENPK1137D_4309	C+H	YDR482C
CENPK1137D_2526	C+H	YNL155W
CENPK1137D_2755	C+H	YNL286W
CENPK1137D_281	C+H	YMR240C
CENPK1137D_1950	C+H	YPL177C
CENPK1137D_2974	C+H	YGR003W
CENPK1137D_4196	C+H	YDR371W
CENPK1137D_2048	C+H	YOL145C
CENPK1137D_4408	C+H	YCR054C
CENPK1137D_5325	C+H	YHR175W
CENPK1137D_4850	C+H	YBR291C
CENPK1137D_1168	C+H	YKL139W
CENPK1137D_1946	C+H	YPL181W
CENPK1137D_3973	C+H	YDR151C
CENPK1137D_1828	C+H	YPR135W
CENPK1137D_108	C+H	YMR078C
CENPK1137D_4080	C+H	YDR256C
CENPK1137D_5025	C+H	YIL036W
CENPK1137D_4586	C+H	YBR042C
CENPK1137D_748	C+H	YLR380W
CENPK1137D_1376	C+H	YJR084W
CENPK1137D_78	C+H	YMR048W
CENPK1137D_2808	C+H	YNL232W
CENPK1137D_474	C+H	YLR087C
CENPK1137D_2968	C+H	YGL238W
CENPK1137D_799	C+H	YLR429W
CENPK1137D_3185	C+H	YGR218W
CENPK1137D_5364	C+H	YHR209W
CENPK1137D_4391	C+H	YDL142C
CENPK1137D_2119	C+H	YOR100C
CENPK1137D_1960	C+H	YJL172W
CENPK1137D_1462	C+H	YJL172W
CENPK1137D_594	C+H	YLR216C
CENPK1137D_4127	C+H	YDR304C
CENPK1137D_3977	C+H	YDR155C
CENPK1137D_1132	C+H	YKL179C
CENPK1137D_5449	C+H	YHR051W
CENPK1137D_3275	C+H	YGL187C
CENPK1137D_5262	C+H	YHR116W
CENPK1137D_738	C+H	YLL018C-A
CENPK1137D_835	C+H	YLL009C
CENPK1137D_1291	C+H	YJL003W
CENPK1137D_3554	C+H	YER141W
CENPK1137D_3272	C+H	YGL191W
CENPK1137D_886	C+H	YLR038C
CENPK1137D_1566	C+H	YPL132W
CENPK1137D_1526	C+H	YPL172C
CENPK1137D_580	C+H	YLR201C
CENPK1137D_2856	C+H	YGL119W
CENPK1137D_3223	C+H	YGR255C
CENPK1137D_124	C+H	YML110C
CENPK1137D_4028	C+H	YDR204W
CENPK1137D_2421	C+H	YOL096C
CENPK1137D_2721	C+H	YNR041C
CENPK1137D_2013	C+H	YOL008W
CENPK1137D_4547	C+H	YBR003W
CENPK1137D_4387	C+H	YDL145C
CENPK1137D_381	C+H	YML071C
CENPK1137D_2638	C+H	YNL041C
CENPK1137D_1797	C+H	YPR105C
CENPK1137D_3571	C+H	YER157W
CENPK1137D_451	C+H	YLL050C
CENPK1137D_286	C+H	YMR244C-A
CENPK1137D_596	C+H	YLR218C
CENPK1137D_4705	C+H	YBR155W
CENPK1137D_4971	C+H	YAL058W
CENPK1137D_1114	C+H	YKL190W
CENPK1137D_4378	C+H	YDL156W
CENPK1137D_4656	C+H	YBR109C
CENPK1137D_4863	C+H	YBL059C-A
CENPK1137D_41	C+H	YMR012W
CENPK1137D_2265	C+H	YOR250C
CENPK1137D_504	C+H	YLR117C
CENPK1137D_4683	C+H	YBR135W
CENPK1137D_519	C+H	YLR133W
CENPK1137D_2060	C+H	YOR039W
CENPK1137D_2080	C+H	YOR061W
CENPK1137D_2372	C+H	YOR356W
CENPK1137D_3173	C+H	YGR207C
CENPK1137D_2364	C+H	YOR349W
CENPK1137D_5198	C+H	YHR052W
CENPK1137D_4092	C+H	YDR267C
CENPK1137D_4568	C+H	YBR023C
CENPK1137D_1693	C+H	YPL008W
CENPK1137D_4833	C+H	YBR274W
CENPK1137D_3578	C+H	YER164W
CENPK1137D_3258	C+H	YGL206C
CENPK1137D_4999	C+H	YCL064C
CENPK1137D_4474	C+H	YCL064C
CENPK1137D_416	C+H	YML036W
CENPK1137D_4124	C+H	YDR301W
CENPK1137D_5060	C+H	YIL003W
CENPK1137D_2130	C+H	YOR112W
CENPK1137D_3468	C+H	YER061C
CENPK1137D_2844	C+H	YGL130W
CENPK1137D_251	C+H	YMR213W
CENPK1137D_4574	C+H	YBR029C
CENPK1137D_2969	C+H	YGL003C
CENPK1137D_620	C+H	YLR245C
CENPK1137D_4371	C+H	YDL164C
CENPK1137D_1349	C+H	YJR057W
CENPK1137D_788	C+H	YLR418C
CENPK1137D_3808	C+H	YDL017W
CENPK1137D_1538	C+H	YPL160W
CENPK1137D_1351	C+H	YJL194W
CENPK1137D_3273	C+H	YGL190C
CENPK1137D_3691	C+H	YDL132W
CENPK1137D_29	C+H	YMR001C
CENPK1137D_3698	C+H	YDL126C
CENPK1137D_491	C+H	YLR103C
CENPK1137D_608	C+H	YLR229C
CENPK1137D_4190	C+H	YDR364C
CENPK1137D_4440	C+H	YCR093W
CENPK1137D_3990	C+H	YDR168W
CENPK1137D_4370	C+H	YDL165W
CENPK1137D_2115	C+H	YOL139C
CENPK1137D_2273	C+H	YOR257W
CENPK1137D_4712	C+H	YBR160W
CENPK1137D_5041	C+H	YBR160W
CENPK1137D_4677	C+H	YBL084C
CENPK1137D_761	C+H	YLR310C
CENPK1137D_772	C+H	YLR310C
CENPK1137D_683	C+H	YLR310C
CENPK1137D_4937	C+H	YAL041W
CENPK1137D_5317	C+H	YHR166C
CENPK1137D_2092	C+H	YOR074C
CENPK1137D_983	C+H	YKL022C
CENPK1137D_3411	C+H	YFR028C
CENPK1137D_593	C+H	YLR215C
CENPK1137D_5253	C+H	YHR107C
CENPK1137D_4497	C+H	YCR002C
CENPK1137D_4007	C+H	YDR182W
CENPK1137D_1287	C+H	YJL008C
CENPK1137D_1518	C+H	YJL111W
CENPK1137D_4013	C+H	YDR188W
CENPK1137D_1357	C+H	YJR064W
CENPK1137D_4390	C+H	YDL143W
CENPK1137D_1281	C+H	YJL014W
CENPK1137D_5115	C+H	YIL142W
CENPK1137D_4961	C+H	YAL021C
CENPK1137D_3184	C+H	YGR217W
CENPK1137D_4094	C+H	YDR270W
CENPK1137D_3582	C+H	YER168C
CENPK1137D_5017	C+H	YIL043C
CENPK1137D_1909	C+H	YPL215W
CENPK1137D_2520	C+H	YNL161W
CENPK1137D_554	C+H	YLR175W
CENPK1137D_1353	C+H	YJR060W
CENPK1137D_1949	C+H	YPL178W
CENPK1137D_3005	C+H	YGR036C
CENPK1137D_2143	C+H	YOR125C
CENPK1137D_412	C+H	YML042W
CENPK1137D_808	C+H	YLR438W
CENPK1137D_1588	C+H	YPL111W
CENPK1137D_5027	C+H	YIL034C
CENPK1137D_1000	C+H	YKL007W
CENPK1137D_3451	C+H	YER048C
CENPK1137D_2753	C+H	YNL288W
CENPK1137D_212	C+H	YML102W
CENPK1137D_4022	C+H	YDR196C
CENPK1137D_3243	C+H	YGR277C
CENPK1137D_915	C+H	YKL088W
CENPK1137D_5177	C+H	YIL083C
CENPK1137D_4359	C+H	YDR531W
CENPK1137D_2626	C+H	YNL305C
CENPK1137D_3574	C+H	YER159C
CENPK1137D_3229	C+H	YGR262C
CENPK1137D_4414	C+H	YCR063W
CENPK1137D_3360	C+H	YFL023W
CENPK1137D_4403	C+H	YCR047C
CENPK1137D_460	C+H	YLR074C
CENPK1137D_910	C+H	YKL092C
CENPK1137D_3626	C+H	YEL029C
CENPK1137D_3287	C+H	YGL174W
CENPK1137D_3152	C+H	YGR188C
CENPK1137D_1630	C+H	YPL069C
CENPK1137D_3358	C+H	YFL025C
CENPK1137D_2443	C+H	YOL077C
CENPK1137D_4544	C+H	YBL097W
CENPK1137D_3213	C+H	YGR246C
CENPK1137D_3753	C+H	YDL074C
CENPK1137D_4392	C+H	YDL141W
CENPK1137D_4527	C+H	YCR032W
CENPK1137D_2765	C+H	YNL275W
CENPK1137D_4932	C+H	YAL046C
CENPK1137D_3167	C+H	YGL220W
CENPK1137D_4933	C+H	YAL044W-A
CENPK1137D_3526	C+H	YER114C
CENPK1137D_4666	C+H	YBL085W
CENPK1137D_5174	C+H	YIL159W
CENPK1137D_2769	C+H	YNL271C
CENPK1137D_3322	C+H	YFR047C
CENPK1137D_609	C+H	YLR231C
CENPK1137D_4916	C+H	YBL098W
CENPK1137D_1241	C+H	YJL060W
CENPK1137D_1371	C+H	YJR078W
CENPK1137D_1321	C+H	YJR025C
CENPK1137D_1907	C+H	YPL217C
CENPK1137D_3376	C+H	YFL007W
CENPK1137D_3672	C+H	YER016W
CENPK1137D_4122	C+H	YDR299W
CENPK1137D_375	C+H	YML077W
CENPK1137D_1270	C+H	YJL031C
CENPK1137D_1078	C+H	YKR068C
CENPK1137D_1869	C+H	YPR176C
CENPK1137D_5059	C+H	YIL004C
CENPK1137D_782	C+H	YLR412W
CENPK1137D_2640	C+H	YNL039W
CENPK1137D_3757	C+H	YDL070W
CENPK1137D_770	C+H	YLR399C
CENPK1137D_5028	C+H	YIL033C
CENPK1137D_4202	C+H	YDR375C
CENPK1137D_4185	C+H	YDR361C
CENPK1137D_1206	C+H	YJL095W
CENPK1137D_5436	C+H	YHR040W
CENPK1137D_1115	C+H	YKR099W
CENPK1137D_2152	C+H	YOR134W
CENPK1137D_5172	C+H	YIL088C
CENPK1137D_3532	C+H	YER119C
CENPK1137D_4621	C+H	YBL089W
CENPK1137D_2577	C+H	YNL101W
CENPK1137D_1160	C+H	YKL146W
CENPK1137D_3439	C+H	YEL064C
CENPK1137D_1294	C+H	YJR001W
CENPK1137D_501	C+H	YLR114C
CENPK1137D_2098	C+H	YOR079C
CENPK1137D_2780	C+H	YNL259C
CENPK1137D_4962	C+H	YAL020C
CENPK1137D_990	C+H	YKL016C
CENPK1137D_4121	C+H	YDR298C
CENPK1137D_1621	C+H	YPL078C
CENPK1137D_4583	C+H	YBR039W
CENPK1137D_2697	C+H	YNR020C
CENPK1137D_1415	C+H	YJR121W
CENPK1137D_3820	C+H	YDL004W
CENPK1137D_1854	C+H	YPL271W
CENPK1137D_1454	C+H	YJL180C
CENPK1137D_2516	C+H	YNL315C
CENPK1137D_4905	C+H	YBL099W
CENPK1137D_347	C+H	YMR301C
CENPK1137D_1727	C+H	YPR026W
CENPK1137D_4383	C+H	YDL149W
CENPK1137D_4732	C+H	YBL078C
CENPK1137D_5323	C+H	YHR171W
CENPK1137D_1550	C+H	YPL149W
CENPK1137D_2816	C+H	YNL223W
CENPK1137D_2683	C+H	YNR007C
CENPK1137D_568	C+H	YLR189C
CENPK1137D_2798	C+H	YNL242W
CENPK1137D_4773	C+H	YBR217W
CENPK1137D_3282	C+H	YGL180W
CENPK1137D_2954	C+H	YGL017W
CENPK1137D_1788	C+H	YPR093C
CENPK1137D_4148	C+H	YDR321W
CENPK1137D_4086	C+H	YDL197C
CENPK1137D_1516	C+H	YJL115W
CENPK1137D_2077	C+H	YOR058C
CENPK1137D_148	C+H	YMR116C
CENPK1137D_2157	C+H	YOR141C
CENPK1137D_2620	C+H	YNL059C
CENPK1137D_1358	C+H	YJR065C
CENPK1137D_3797	C+H	YDL029W
CENPK1137D_3261	C+H	YGL202W
CENPK1137D_1650	C+H	YPL051W
CENPK1137D_4717	C+H	YBR164C
CENPK1137D_2657	C+H	YNL020C
CENPK1137D_4203	C+H	YDR376W
CENPK1137D_3477	C+H	YER069W
CENPK1137D_5411	C+H	YHR018C
CENPK1137D_1214	C+H	YJL088W
CENPK1137D_1962	C+H	YOL058W
CENPK1137D_5405	C+H	YHR013C
CENPK1137D_4790	C+H	YBR234C
CENPK1137D_2714	C+H	YNR035C
CENPK1137D_994	C+H	YKL013C
CENPK1137D_740	C+H	YLR370C
CENPK1137D_5195	C+H	YIL062C
CENPK1137D_2870	C+H	YGL105W
CENPK1137D_3436	C+H	YER036C
CENPK1137D_5	C+H	YML022W
CENPK1137D_1276	C+H	YJL024C
CENPK1137D_1350	C+H	YJR058C
CENPK1137D_549	C+H	YLR170C
CENPK1137D_4908	C+H	YBL019W
CENPK1137D_1580	C+H	YPL259C
CENPK1137D_3228	C+H	YGR261C
CENPK1137D_1929	C+H	YPL195W
CENPK1137D_1730	C+H	YPR029C
CENPK1137D_4886	C+H	YBL037W
CENPK1137D_1172	C+H	YKL135C
CENPK1137D_5259	C+H	YHR113W
CENPK1137D_512	C+H	YLR127C
CENPK1137D_3815	C+H	YDL008W
CENPK1137D_2509	C+H	YNL172W
CENPK1137D_1872	C+H	YPR180W
CENPK1137D_960	C+H	YKL047W
CENPK1137D_3305	C+H	YGL156W
CENPK1137D_4709	C+H	YBR158W
CENPK1137D_4066	C+H	YDR242W
CENPK1137D_418	C+H	YML035C
CENPK1137D_357	C+H	YML086C
CENPK1137D_4918	C+H	YBL009W
CENPK1137D_2950	C+H	YGL021W
CENPK1137D_2465	C+H	YNL219C
CENPK1137D_2087	C+H	YOR067C
CENPK1137D_4800	C+H	YBR243C
CENPK1137D_2023	C+H	YOR002W
CENPK1137D_1897	C+H	YPL227C
CENPK1137D_4688	C+H	YBL082C
