Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
KMXK_0A03640,849,1026,1268,1295,1133,1012
KMXK_0A03650,988,918,1125,1183,1076,920
KMXK_0A03660,22,24,15,24,15,11
KMXK_0A03670,1068,1169,1610,1570,1438,1240
KMXK_0A03680,419,509,487,597,544,513
KMXK_0A03690,27726,29736,33779,41381,37478,35924
KMXK_0A03700,1039,1028,1184,1167,1087,979
KMXK_0A03710,1458,1576,1771,2094,1844,1527
KMXK_0A03720,2296,2320,2745,3158,2931,2884
KMXK_0A03730,1350,1764,2539,3234,2973,3151
KMXK_0A03740,803,740,1040,1401,1150,1064
KMXK_0A03750,67317,90277,103777,142023,128371,116818
KMXK_0A03760,711,689,746,965,791,674
KMXK_0A03770,3321,3153,3829,4275,3698,3336
KMXK_0A03780,3769,3874,4089,4529,4413,3427
KMXK_0A03790,53014,61666,71352,79693,72538,67884
KMXK_0A03800,41561,47780,58528,68863,64592,54550
KMXK_0A03810,683,797,891,1170,1049,1127
KMXK_0A03820,2100,2211,2687,2905,2710,2267
KMXK_0A03830,1195,1505,1693,1630,1612,1395
KMXK_0A03840,1219,1396,1505,1554,1506,1347
KMXK_0A03850,5479,6042,6892,7287,6990,6492
KMXK_0A03860,636,714,866,897,898,760
KMXK_0A03870,1010,1153,1388,1479,1245,1053
KMXK_0A03880,3060,3948,4561,4939,4506,4021
KMXK_0A03890,3657,3623,3672,4151,4260,3547
KMXK_0A03900,1509,1552,1681,1848,1769,1485
KMXK_0A03910,2575,3072,3386,3666,3626,3076
KMXK_0A03920,52,75,67,57,56,44
KMXK_0A03930,2565,3131,3168,3402,3248,2862
KMXK_0A03940,1514,1861,1943,2160,1779,1585
KMXK_0A03950,1357,1529,1617,1926,1650,1597
KMXK_0A03960,1666,1802,2044,2248,1942,1763
KMXK_0A03970,355,417,414,467,444,375
KMXK_0A03980,1876,2086,2533,3269,3105,2912
KMXK_0A03990,384,435,514,800,719,760
KMXK_0A04000,5010,5777,6725,7028,6602,5441
KMXK_0A04010,8641,9476,10568,11086,9991,9066
KMXK_0A04020,7586,8346,9223,9786,9472,9047
KMXK_0A04030,5673,6459,7355,7939,7574,7193
KMXK_0A04040,5359,5374,5929,7023,6431,6163
KMXK_0A04050,613,779,868,655,669,606
KMXK_0A04060,9771,9324,10318,12383,11480,10715
KMXK_0A04070,1152,1341,1304,1871,1732,1512
KMXK_0A04080,6859,7272,9145,11271,10819,10000
KMXK_0A04090,172,209,228,267,248,248
KMXK_0A04100,1346,1391,1643,1949,1832,1742
KMXK_0A04110,939,978,1074,1011,931,919
KMXK_0A04120,1024,1290,1219,1449,1257,1232
KMXK_0A04130,6775,8119,9152,10333,9202,8166
KMXK_0A04140,9625,8936,8901,7033,6010,4389
KMXK_0A04150,1643,1720,2030,2198,1962,1804
KMXK_0A04160,953,1116,1166,1182,998,879
KMXK_0A04170,2272,2539,3034,3280,2975,2615
KMXK_0A04180,1392,1795,1955,2111,1808,1405
KMXK_0A04190,8474,9082,10956,10068,8671,7004
KMXK_0A04200,1337,1511,1305,1376,1164,889
KMXK_0A04210,4096,4117,4816,5291,5144,4434
KMXK_0A04220,740,928,808,801,700,694
KMXK_0A04230,464,421,457,521,430,365
KMXK_0A04240,1046,1232,1570,1717,1486,1258
KMXK_0A04250,1316,1468,1709,1781,1597,1382
KMXK_0A04260,6158,6962,7798,8452,7852,6801
KMXK_0A04270,274,311,291,280,247,192
KMXK_0A04280,4924,5938,6666,7332,6330,5559
KMXK_0A04290,1648,1766,2117,2084,1704,1610
KMXK_0A04300,742,933,1078,1130,1075,917
KMXK_0A04310,588,668,592,584,561,416
KMXK_0A04320,762,1005,1115,1084,926,843
KMXK_0A04330,35,33,52,34,26,24
KMXK_0A04340,1456,1142,961,945,693,589
KMXK_0A04350,586,785,788,1018,808,737
KMXK_0A04360,936,1135,1278,1213,1253,993
KMXK_0A04370,2040,1934,2483,2977,2584,2285
KMXK_0A04380,333,309,430,491,448,367
KMXK_0A04390,745,982,1043,1160,1063,901
KMXK_0A04400,4475,4994,5609,6549,6246,5896
KMXK_0A04410,714,885,999,887,826,674
KMXK_0A04420,2070,2053,2175,2222,1939,1740
KMXK_0A04430,1413,1834,2069,2147,1971,1671
KMXK_0A04440,4403,4538,5089,5784,5043,4596
KMXK_0A04450,215,217,223,228,220,214
KMXK_0A04460,2277,2209,2088,1883,1666,1472
KMXK_0A04470,489,510,623,692,522,439
KMXK_0A04480,10434,10103,10991,13283,13118,12389
KMXK_0A04490,548,451,515,549,588,521
KMXK_0A04500,771,836,936,1059,969,1074
KMXK_0A04510,2089,2025,2532,3231,3055,2963
KMXK_0A04520,11246,12564,12697,15447,13110,12380
KMXK_0A04530,23500,28047,26850,30287,26879,24438
KMXK_0A04540,3207,3126,3351,3824,3271,2924
KMXK_0A04550,762,773,777,708,616,526
KMXK_0A04560,1147,1276,1396,1696,1351,1295
KMXK_0A04570,889,945,963,1192,1006,918
KMXK_0A04580,1069,859,743,727,620,496
KMXK_0A04590,6916,5748,6284,8553,8494,7332
KMXK_0A04600,3,4,4,4,2,4
KMXK_0A04610,7283,6805,7549,8612,7826,7255
KMXK_0A04620,1348,1415,1603,1772,1443,1304
KMXK_0A04630,5031,5232,6551,8658,7626,8289
KMXK_0A04640,689,764,894,1012,802,796
KMXK_0A04650,1025,1113,1339,1489,1380,1253
KMXK_0A04660,52,72,82,65,77,67
KMXK_0A04670,1932,2434,2572,5026,5047,4740
KMXK_0A04680,811,805,851,923,873,618
KMXK_0A04690,2477,2473,2936,3203,2915,2768
KMXK_0A04700,6613,7354,7866,8315,7407,6740
KMXK_0A04710,1907,2091,2240,2381,2165,1666
KMXK_0A04720,12609,14768,15717,16800,16375,13197
KMXK_0A04730,10438,12359,14104,15981,14820,13425
KMXK_0A04740,3124,2904,2494,2672,2041,1684
KMXK_0A04750,1842,1869,2041,2144,1985,1652
KMXK_0A04760,1216,1325,1464,1511,1446,1309
KMXK_0A04770,1931,2166,2573,2537,2475,2131
KMXK_0A04780,1921,2160,2253,2491,2424,2098
KMXK_0A04790,2294,2403,2487,2688,2546,2132
KMXK_0A04800,59,70,75,81,70,65
KMXK_0A04810,263,344,377,469,366,350
KMXK_0A04820,5655,6086,6804,6444,5620,4758
KMXK_0A04830,517,656,781,787,646,647
KMXK_0A04840,6497,6256,6517,7231,6365,5529
KMXK_0A04850,8117,7332,7811,9532,8736,7652
KMXK_0A04860,4359,4311,4504,5291,5229,4723
KMXK_0A04870,15884,16652,18887,25939,23094,19520
KMXK_0A04880,1499,1600,1810,2393,1969,1790
KMXK_0A04890,1650,1859,1893,1971,1838,1640
KMXK_0A04900,2667,3204,3807,3980,3379,3033
KMXK_0A04910,1084,1213,1423,1343,1198,940
KMXK_0A04920,3784,3989,4639,5796,5454,4585
KMXK_0A04930,3596,3492,4169,4686,4478,3928
KMXK_0A04940,983,925,1052,1139,1015,976
KMXK_0A04950,4421,5189,5478,6257,5283,5214
KMXK_0A04960,471,562,580,754,700,658
KMXK_0A04970,476,494,582,782,771,793
KMXK_0A04980,3354,3801,4208,4805,4522,4027
KMXK_0A04990,1843,2148,2471,2712,2685,2354
KMXK_0A05000,1243,1402,1615,1655,1523,1434
KMXK_0A05010,850,764,738,644,509,415
KMXK_0A05020,2043,1703,1847,2038,1612,1506
KMXK_0A05030,2938,3081,3105,3566,3186,3042
KMXK_0A05040,2390,2926,3292,3669,3508,2990
KMXK_0A05050,1342,1473,1654,1996,1968,1728
KMXK_0A05060,2899,3567,3905,4481,3993,3618
KMXK_0A05070,1144,1372,1483,1899,1763,1608
KMXK_0A05080,904,1016,1007,1211,1135,1061
