"","genes","logFC","logCPM","PValue","FDR"
"5767","YFL031W",-0.734870106583156,7.86955891104457,9.00973704412281e-11,1.54858110408666e-09
"2332","YLR431C",-0.553937155485389,6.92772233859499,9.07424571168242e-11,1.5551740417111e-09
"4293","YJL038C",1.22527944454118,4.24192227803313,9.41394390388479e-11,1.6087564481725e-09
"2582","YPL058C",-3.68767926575536,7.80103077674763,9.98923685347148e-11,1.70217740881361e-09
"5266","YHR123W",0.649509472997539,5.90587322681798,1.0671414131633e-10,1.81322570973776e-09
"4651","YKL044W",-1.31119723130883,5.40964129299346,1.12607032103241e-10,1.90790319064951e-09
"279","YDR038C",2.11187771871385,4.61699595101074,1.15556874973726e-10,1.95232027121803e-09
"2160","YLR258W",-0.764667289604954,7.8380696873635,1.17670221678548e-10,1.98239322470914e-09
"3638","YBR222C",0.691530194325895,8.8039950957133,1.30244673921133e-10,2.1880369373135e-09
"4250","YJL082W",-0.620174256257669,7.65553514491629,1.34339092124801e-10,2.25046360807379e-09
"2536","YPL104W",0.543052562232928,6.73359663030513,1.59949227181661e-10,2.67196082598129e-09
"2735","YPR105C",0.669934192269219,6.84220063683229,1.69661477648891e-10,2.82626556744526e-09
"1937","YLR023C",0.908874924917829,8.21006207807301,1.73028046396801e-10,2.87429550816138e-09
"4976","YER088C",-0.829199186373023,7.77061731674496,1.75651273676369e-10,2.90974407953584e-09
"4805","YEL069C",1.99253584456488,2.45616308593371,2.15456329588243e-10,3.55921886683689e-09
"3685","YBR265W",-0.581807843618821,6.67519749668658,2.17681454536374e-10,3.58601554052027e-09
"1533","YGL039W",0.901139154269529,5.20197497761152,2.18553509839141e-10,3.59043569893196e-09
"4331","YJR009C",1.50201068381167,9.97287780421628,2.28072839841324e-10,3.73649911442522e-09
"1456","YGL121C",-0.808920465852661,7.91783319171309,2.36430896396438e-10,3.84234629977553e-09
"4045","YNR002C",-1.97524312359234,8.61775359014455,2.366414390015e-10,3.84234629977553e-09
"3144","YMR175W",-1.46726659560745,9.71497582844359,2.36798139735086e-10,3.84234629977553e-09
"5551","YIR014W",-0.892828273599629,4.88175872464525,2.37118058183558e-10,3.84234629977553e-09
"2980","YMR015C",-1.45133901058439,9.89888586980181,2.47837633152613e-10,4.00513696836573e-09
"4938","YER055C",-0.801861260147716,8.53907138966674,2.50991603190286e-10,4.04511399504778e-09
"5182","YHR043C",0.774891073652018,6.82232188594625,2.71331608063277e-10,4.36110560311435e-09
"2455","YPL187W",-2.43998987591096,4.3645033081904,2.75871733051289e-10,4.42212721416715e-09
"1075","YOR135C",0.911833846217733,3.84737019720041,3.03851032135984e-10,4.8575324949266e-09
"5745","YFL052W",1.03948820130775,4.29885301774463,3.43974186028502e-10,5.48422113756435e-09
"4344","YJR025C",-1.00699967300357,8.04382181329978,3.67001205443111e-10,5.8357116812037e-09
"5884","YAL038W",-0.704048410581528,9.85282320305494,3.69142811315551e-10,5.85411279704956e-09
"2778","YPR149W",-1.04629256930583,10.8980253375819,3.78264747772296e-10,5.98282035904746e-09
"1325","YGL258W",2.14607229088526,2.09452038451072,3.93703958481471e-10,6.21049719121832e-09
"2936","YML028W",-0.930246847447071,9.45857540914816,4.0967442564797e-10,6.44532753790603e-09
"1636","YGR066C",1.03458630465805,4.64627673480348,4.16444085973051e-10,6.53454611947687e-09
"1142","YOR202W",-0.752703389586549,6.95562458528992,4.47002685412659e-10,6.99559202670811e-09
"3418","YBR008C",-0.572520068552049,6.09749626057662,4.55695968230124e-10,7.11292368258411e-09
"5626","YCL012C",-1.0080360837602,5.31188426922735,4.70521302597571e-10,7.32510520038679e-09
"6","YDL243C",0.889946349205371,5.43867587707859,4.80233770280316e-10,7.4567891171202e-09
"3299","YMR318C",0.922039775040264,8.21714216878421,4.94458159260095e-10,7.65766321124944e-09
"4441","YJR127C",-0.770250087706677,6.19201321553679,5.44330365668821e-10,8.40813684320124e-09
"761","YDR524W-C",-1.17192658051697,8.63673058224965,5.95848940123509e-10,9.1800871681723e-09
"2200","YLR296W",1.91135048821737,2.17575099799568,6.57719632626295e-10,1.01071283080842e-08
"912","YOL031C",0.549726365662444,6.27810150838422,7.8848902998871e-10,1.20854233539764e-08
"3826","YNL223W",-0.782255675470383,5.76704644685655,7.98390969976964e-10,1.22057354716016e-08
"834","YOL110W",-0.715894410164247,6.96020781047338,8.13364277229169e-10,1.24027624530304e-08
