NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C	standard_A	standard_B	standard_C
KMXK_0C06930	W0T8N1	KLMA_30687	7.417800375	7.378634636	7.381767551	7.708895413	7.60584953	7.727232657	7.768675543	7.557759677	7.607671435	7.879647655	7.747916701	7.753920641
KMXK_0B03200	W0T6S6	KLMA_20305	7.031358638	6.928353619	7.001136676	7.413570092	7.334078182	7.490174044	7.332253474	7.386448543	7.369970259	7.565411511	7.480300104	7.389876966
KMXK_0E05330	W0TDP1	KLMA_50529	7.324073306	7.254380873	7.23516317	6.9303359	6.993899202	6.969886418	7.19219247	6.999567866	7.202153013	6.741108273	6.782053513	6.762725107
KMXK_0A07560	W0T6J7	KLMA_10097	6.909924015	6.871622571	6.737396109	7.320264443	7.3454213	7.382652149	7.225341584	7.093361877	7.11000295	7.155132057	7.173800492	7.180631227
KMXK_0E00470	W0TB85	KLMA_50041	6.912025742	7.0120652	6.939277629	7.155394247	7.283111939	7.184758365	7.384006684	7.451849809	7.364537928	7.398923534	7.2816085	7.319742461
KMXK_0B03030	W0T7F7	KLMA_20288	7.006623076	7.058696323	6.963677102	7.238807602	7.242084215	7.325974054	7.177537858	7.121404815	7.097387754	7.383704826	7.363224866	7.305148522
KMXK_0C03640	W0T8A9	KLMA_30370	7.027312517	7.077820902	7.135989711	7.211328076	7.158833912	7.121283992	6.721611804	6.763843616	6.801223349	7.097761882	7.232068573	7.120229318
KMXK_0B04280	W0T7V7	KLMA_20413	6.720362281	6.537383508	6.594529413	6.997467905	6.884129216	7.01541738	6.709533102	6.637786012	6.718018545	7.081156119	6.947124757	6.897531209
KMXK_0F03310	W0THE4	KLMA_60243	7.367364237	7.143752143	7.133343403	6.98477385	6.954466304	6.904176616	6.47135468	6.606317942	6.684631914	6.371165975	6.574903503	6.463582374
KMXK_0C07290	W0T8R1	KLMA_30722	7.276298885	7.415137436	7.428506246	7.40615646	7.353460007	7.390704161	7.085216882	7.076849448	7.067525267	7.444030795	7.376357813	7.444437447
KMXK_0B02910	W0T9G2	KLMA_20276	6.897162839	6.661386612	6.661593418	7.159253302	7.272361517	7.110675589	7.286958965	7.322359197	7.297621474	7.355386484	7.256075169	7.312498991
KMXK_0C00810	W0T7J6	KLMA_30075	7.108873423	6.919305835	6.942319146	7.46834564	7.371725506	7.491745255	7.36880671	7.310498045	7.420035135	7.313209375	7.305435778	7.234728096
KMXK_0H04430	W0TFA8	KLMA_70444	7.123736704	7.132159644	7.10454557	7.576055358	7.301083123	7.630856447	7.127720704	7.181383092	7.164114842	7.912340178	7.671411731	7.777530997
KMXK_0D01210	W0TAQ8	KLMA_40099	7.132784945	7.25326342	7.240767531	6.930400078	6.996841036	6.821007961	7.141696158	7.218176886	7.115678397	6.696813125	6.936540641	6.809793008
KMXK_0H04290	W0TF68	KLMA_70429	6.812014337	6.74972419	6.737821764	7.26174043	7.057789997	7.216699296	6.573366077	6.491527173	6.757191118	7.791240127	7.34708784	7.383597251
KMXK_0C00260	W0TB73	KLMA_30024	6.956444631	7.041668697	6.739625032	7.452090272	7.273573094	7.211633728	7.595133191	7.470844689	7.478688628	7.447013829	7.490931203	7.226464715
KMXK_0B02080	W0T4V3	KLMA_20194	7.334015287	7.291188687	7.292677014	7.14899654	7.170830676	7.350312239	6.640596686	6.371315226	6.710509564	6.827771605	6.942698839	6.859783555
KMXK_0A06760	W0T4T5	KLMA_10179	6.982600475	6.925979156	6.755854248	6.754438257	7.118736811	6.780167538	7.626689072	7.723912815	7.760060466	7.059812516	6.960873237	6.758266308
KMXK_0D05160	W0TA58	KLMA_40493	7.071260577	7.007741988	7.024064671	6.858512557	6.894315463	6.835719466	7.052466712	7.068357069	7.001246843	6.757080614	6.845318659	6.852520571
KMXK_0D01170	W0T9M2	KLMA_40096	7.149757993	7.020085333	7.027099595	7.426272604	7.367649516	7.233013427	7.131167874	7.20421809	7.108141004	7.416739026	7.408132452	7.341119319
KMXK_0D05050	W0TCH3	KLMA_40482	7.601808397	7.499472775	7.553126295	7.737072909	7.776191458	7.830514809	7.780562043	7.861649428	7.756671996	7.861986153	7.855779583	7.822996774
KMXK_0E05410			7.231720396	7.109686488	7.085778082	6.618933116	6.71870373	6.835166033	6.610728295	6.593067235	6.556819082	6.383128024	6.648303501	6.561029725
